year,month,region,sales,cost
2025,Jan,North,100.0,70.0
2025,Jan,South,105.0,73.5
2025,Jan,East,110.0,77.0
2025,Jan,West,115.0,80.5
2025,Feb,North,100.5,70.35
2025,Feb,South,105.5,73.85
2025,Feb,East,110.5,77.35
2025,Feb,West,115.5,80.85
2025,Mar,North,101.0,70.7
2025,Mar,South,,74.2
2025,Mar,East,111.0,77.7
2025,Mar,West,116.0,81.2
2025,Apr,North,101.5,71.05
2025,Apr,South,106.5,74.55
2025,Apr,East,111.5,78.05
2025,Apr,West,116.5,81.55
2025,May,North,102.0,71.4
2025,May,South,107.0,74.9
2025,May,East,112.0,78.4
2025,May,West,117.0,81.9
2025,Jun,North,102.5,71.75
2025,Jun,South,107.5,75.25
2025,Jun,East,112.5,78.75
2025,Jun,West,117.5,82.25
2025,Jul,North,103.0,72.1
2025,Jul,South,108.0,75.6
2025,Jul,East,113.0,79.1
2025,Jul,West,118.0,
2025,Aug,North,103.5,72.45
2025,Aug,South,108.5,75.95
2025,Aug,East,113.5,79.45
2025,Aug,West,118.5,82.95
2025,Sep,North,104.0,72.8
2025,Sep,South,109.0,76.3
2025,Sep,East,114.0,79.8
2025,Sep,West,119.0,83.3
2025,Oct,North,104.5,73.15
2025,Oct,South,109.5,76.65
2025,Oct,East,114.5,80.15
2025,Oct,West,119.5,83.65
2025,Nov,North,105.0,73.5
2025,Nov,South,110.0,77.0
2025,Nov,East,115.0,80.5
2025,Nov,West,120.0,84.0
2025,Dec,North,105.5,73.85
2025,Dec,South,110.5,77.35
2025,Dec,East,115.5,80.85
2025,Dec,West,120.5,84.35
2026,Jan,North,110.0,77.0
2026,Jan,South,115.0,80.5
2026,Jan,East,120.0,84.0
2026,Jan,West,125.0,87.5
2026,Feb,North,110.5,
2026,Feb,South,115.5,80.85
2026,Feb,East,120.5,84.35
2026,Feb,West,125.5,87.85
2026,Mar,North,111.0,77.7
2026,Mar,South,116.0,81.2
2026,Mar,East,121.0,84.7
2026,Mar,West,126.0,88.2
2026,Apr,North,111.5,78.05
2026,Apr,South,116.5,81.55
2026,Apr,East,121.5,85.05
2026,Apr,West,126.5,88.55
2026,May,North,112.0,78.4
2026,May,South,117.0,81.9
2026,May,East,122.0,85.4
2026,May,West,127.0,88.9
2026,Jun,North,112.5,78.75
2026,Jun,South,117.5,82.25
2026,Jun,East,122.5,85.75
2026,Jun,West,127.5,89.25
2026,Jul,North,113.0,79.1
2026,Jul,South,118.0,82.6
2026,Jul,East,123.0,86.1
2026,Jul,West,128.0,89.6
2026,Aug,North,113.5,79.45
2026,Aug,South,118.5,82.95
2026,Aug,East,,86.45
2026,Aug,West,128.5,89.95
2026,Sep,North,114.0,79.8
2026,Sep,South,119.0,83.3
2026,Sep,East,124.0,86.8
2026,Sep,West,129.0,90.3
2026,Oct,North,114.5,80.15
2026,Oct,South,119.5,83.65
2026,Oct,East,124.5,87.15
2026,Oct,West,129.5,90.65
2026,Nov,North,115.0,80.5
2026,Nov,South,120.0,84.0
2026,Nov,East,125.0,87.5
2026,Nov,West,130.0,91.0
2026,Dec,North,115.5,80.85
2026,Dec,South,120.5,84.35
2026,Dec,East,125.5,87.85
2026,Dec,West,130.5,91.35
